,Platform,Share)Screen,On_Cam,Data_Consumption,Low_Cost
1,gmeet,yes,yes,High,yes
2,zoom,no,yes,Low,no
3,teams,no,no,Low,no
4,zoom,no,no,Low,no
5,gmeet,no,no,Low,no
6,teams,no,no,Low,no
7,zoom,yes,yes,High,yes
8,zoom,yes,yes,High,yes
9,teams,no,yes,High,yes
10,teams,yes,no,High,yes
11,gmeet,yes,no,Low,yes
12,gmeet,no,no,Low,no
13,gmeet,no,no,Low,no
14,gmeet,no,yes,High,yes
15,gmeet,no,yes,Low,no
16,gmeet,yes,no,Low,no
17,teams,yes,no,High,yes
18,zoom,yes,no,Low,no
19,zoom,no,yes,High,yes
20,zoom,no,no,Low,no
21,zoom,yes,no,Low,no
22,gmeet,no,no,Low,no
23,zoom,yes,no,High,no
24,gmeet,yes,yes,High,yes
25,zoom,no,no,Low,no
26,zoom,yes,no,high,yes
27,gmeet,yes,yes,high,yes
28,zoom,no,no,low,no
29,zoom,no,yes,low,no
30,zoom,yes,yes,high,yes
31,zoom,yes,no,low,no
32,gmeet,no,yes,high,yes
33,gmeet,yes,yes,high,yes
34,gmeet,no,yes,high,yes
35,gmeet,no,yes,high,yes
36,gmeet,yes,yes,low,no
37,zoom,no,no,low,no
38,zoom,no,yes,low,no
39,zoom,yes,yes,high,yes
40,gmeet,no,yes,low,no
41,gmeet,yes,yes,high,yes
42,gmeet,yes,no,high,yes
43,gmeet,yes,yes,high,yes
44,gmeet,no,yes,low,no
45,gmeet,yes,yes,low,no
46,zoom,no,yes,high,yes
47,gmeet,yes,no,low,no
48,gmeet,no,no,high,yes
49,gmeet,yes,no,low,no
50,gmeet,no,no,low,no
